Company name,Date of Initial Order,Monitor,Representative,Phone Number,URL
North American Tungsten Corporation Ltd.,2015-06-09,Alvarez & Marsal Canada Inc.,Todd Martin,604-638-7445,www.alvarezandmarsal.com/northamerican
Strateco Resources Inc.,2015-06-09,Ernst & Young Inc.,Michel Marleau,514-874-4457,www.ey.com/ca/strateco
"Co-op Atlantic, Co-op Energy Ltd. ,  C A Reality Ltd.",2015-06-25,KPMG Inc.,Carl Adjami,514-205-5434,https://home.kpmg.com/ca/en/home/services/advisory/deal-advisory/creditorlinks/co-op-atlantic-co-op-energy-ltd-c-a-realty-ltd.html
Scotian Halibut Limited,2015-07-09,Grant Thornton Limited,Daniel A. Rozon,902-453-6600,www.grantthornton.ca/scotianhalibut
"Magasin Laura (P.V.) Inc., Laura's Shoppe (P.V.) Inc.",2015-08-12,KPMG Inc.,Dev A. Coossa,514-840-2555,https://home.kpmg/ca/en/home/services/advisory/deal-advisory/creditorlinks/lauras-shoppe-p-v-inc.html
COGI Limited Partnership and Canadian Oil & Gas International Inc.,2015-08-28,MNP Ltd.,Victor Kroeger,403-298-8479,www.mnpdebt.ca/cogi
"Pascan Aviation Inc., Les Structures & Composantes Avtech Inc., 3939421 Canada Inc., 8039879 Canada Inc., Pascan Express Inc., 8039895 Canada Inc., Les Carburants Avtech Inc.",2015-08-31,PricewaterhouseCoopers Inc.,Christian Bourque  Catherine Nguyen,514-205-5434,http://www.pwc.com/ca/en/car/groupepascan
"Crailar Technologies Inc., Crailar Inc., Hemptown USA Inc., 0697872 B.C. Ltd., Crailar Fiber Technologies Inc., HTNaturals Apparel Corp.",2015-11-09,The Bowra Group Inc.,Martin Hyatt,604-689-8939,http://www.bowragroup.com/#!crailar-technologies-/iaxon
"Essar Steel Algoma Inc., Essar Tech Algoma Inc., Essar Steel Algoma (Alberta) ULC, Cannelton Iron Ore Company and Essar Steel Algoma Inc. USA",2015-11-09,Ernst & Young Inc.,Brian Denega,416-943-3058,www.ey.com/ca/essaralgoma
"Parallel Energy Trust, Parallel Energy Commercial Trust and Parallel Energy Inc.",2015-11-09,KPMG Inc.,Neil Honess,403-691-8014,www.kpmg.ca/parallelenergy
"Bluberi Jeux et Technologies Inc. / Bluberi Gaming Technologies Inc., Bluberi Group Inc., Bluberi USA, Inc.",2015-11-12,Ernst & Young Inc.,Martin P. Rosenthal,514-879-6549,www.ey.com/ca/bluberi
"Victorian Order of Nurses for Canada, Victorian Order of Nurses for Canada - Eastern Region and Victorian Order of Nurses for Canada - Western Region",2015-11-25,Collins Barrow Toronto Limited,Daniel Weisz,416-646-8778,http://www.collinsbarrow.com/en/cbn/restructuring-and-recovery-engagements/v-o-n
"Walter Energy Canada Holdings, Inc.; Walter Canadian Coal ULC; Wolverine Coal ULC; Brule Coal ULC; Cambrian Energybuild Holdings ULC; Willow Creek Coal ULC; Pine Valley Coal Ltd.; 0541237 B.C. Ltd.",2015-12-07,KPMG Inc.,Philip J. Reynolds / Anthony Tillman,416-777-8415,/ 604-646-6332  www.kpmg.com/ca/walterenergycanada
9323-7055 Québec Inc.,2015-12-09,Raymond Chabot Inc.,Jean Gagnon,514-393-4848,www.raymondchabot.com/dossiers-publics/9 323-7055 quebec-inc/
"Les Grands Travaux Soter Inc., Les Constructions Marc Lussier Inc., 9063-0757 Québec Inc.",2015-12-21,Raymond Chabot Inc.,Jean Gagnon,514-393-4848,https://www.raymondchabot.com/en/public-records/les-grands-travaux-soter-inc/
"PT Holdco, Inc., Primus Telecommunications Canada, Inc., PTUS, Inc., Primus Telecommunications, Inc., and Lingo, Inc.",2016-01-19,FTI Consulting Canada Inc.,Nigel Meakin,416-649-8065,http://cfcanada.fticonsulting.com/Primus/
1721027 Ontario Inc.,2016-02-02,PricewaterhouseCoopers Inc.,Gregory Prince,416-814-5752,www.pwc.com/car-1721027ontarioinc
Rotating Right Inc.,2016-02-03,Ernst & Young Inc.,Matt McCulloch,780-638-6642,https://documentcentre.eycan.com/Pages/Main.aspx?SID=363
GuestLogix Inc. and GuestLogix Ireland Limited,2016-02-09,PricewaterhouseCoopers Inc.,Gregory Prince,416-814-5752,www.pwc.com/ca/guestlogix
"Argent Energy Trust, Argent Energy (Canada) Holdings Inc. and Argent Energy (US) Holdings Inc.",2016-02-17,FTI Consulting Canada Inc.,Deryck Helkaa,403-454-6035,http://cfcanada.fticonsulting.com/Argent
3499481 Canada Inc.,2016-02-19,PricewaterhouseCoopers Inc.,Claudio Filippone,514-205-5000,www.pwc.com/ca/3499481
632738 Alberta Ltd.,2016-02-19,Ernst & Young Inc.,Matt McCulloch,780-638-6642,www.ey.com/ca/632738
"Les investissements Hexagone Inc., Location Hexagone Inc., Groupe Hexagone s.e.c., Les entreprises commerciales Hexagone Inc, 9324-9928 Quebec Inc. and 9328-5021 Quebec Inc.",2016-03-03,PricewaterhouseCoopers Inc.,Christian Bourque,514-205-5434,www.pwc.com/ca/groupehexagone
"Quicksilver Resources Canada Inc., 0942065 B.C. Ltd and 0942069 B.C. Ltd.",2016-03-08,FTI Consulting Canada Inc.,Deryck Helkaa,403-454-6035,http://cfcanada.fticonsulting.com/qrci/
7098961 Canada Inc.,2016-03-24,Richter Advisory Group Inc.,Benoit Gingues,514-934-3514,www.richter.ca/en/folder/insolvency-cases/0-9/7098961-canada-inc
"Sanjel Corporation, Sanjel Canada Ltd., Terracor Group Ltd., Suretech Group Ltd., Suretech Completions Canada Ltd., Sanjel Energy Services (USA) Inc., Sanjel (USA) Inc., Suretech Completions (USA) Inc., Sanjel Capital (USA) Inc., Terracor (USA) Inc., Terracor Resources (USA) Inc., Terracor Logistics (USA) Inc., Sanjel Middle East Ltd., Sanjel Latin America Limited and Sanjel Energy Services DMCC",2016-04-04,PricewaterhouseCoopers Inc.,Paul Darby,403-509-6677,www.pwc.com/ca/sanjel
FirstOnSite G.P. Inc.,2016-04-21,FTI Consulting Canada Inc.,Michael Basso,416-649-8050,http://cfcanada.fticonsulting.com/firstonsite
Northern Transportation Company Limited,2016-04-27,PricewaterhouseCoopers Inc.,Sean Fleming,780-441-6700,www.pwc.com/ca/ntcl
"Pacific Exploration & Production Corporation, Pacific E&P Holdings Corp., Meta Petroleum Corp., Pacific Stratus International Energy Ltd., Pacific Stratus Energy Colombia Corp., Pacific Stratus Energy S.A., Pacific Off Shore Peru S.R.L., Pacific Rubiales Guatemala S.A., Pacific Guatemala Energy Corp., PRE-PSIE Coöperatief U.A., Petrominerales Colombia Corp. and Grupo C&C Energia (Barbados) Ltd.",2016-04-27,PricewaterhouseCoopers Inc.,Mica Arlette,416-814-5834,www.pwc.com/ca/pacific
Anterra Energy Inc.,2016-05-06,PricewaterhouseCoopers Inc.,Jonathan Reimche,403-509-7359,http://www.pwc.com/ca/en/services/insolvency-assignments/anterra.html
Connacher Oil and Gas Limited,2016-05-17,Ernst & Young Inc.,Peter Chisolm,403-206-5061,www.ey.com/ca/connacheroilandgas
Ben Moss Jewellers Western Canada Ltd.,2016-05-18,Alvarez & Marsal Canada Inc.,Alan John Hutchens,416-847-5159,www.alvarezandmarsal.com/benmoss
"Urbancorp Toronto Management Inc., Urbancorp (St. Clair Village) Inc., Urbancorp (Patricia) Inc., Urbancorp (Mallow) Inc., Urbancorp (Lawrence) Inc., Urbancorp Downsview Park Development Inc., Urbancorp Residential Inc., Urbancorp (952 Queen West) Inc., King Residential Inc., Urbancorp 60 ST. Clair Inc., High Res. Inc., Bridge On King Inc.",2016-05-18,KSV Kofman Inc.,Robert Kofman,416-932-6228,https://www.ksvadvisory.com/insolvency-cases/case/urbancorp-group
101133330 Saskatchewan Ltd. and 101149825 Saskatchewan Ltd.,2016-05-20,Deloitte Restructuring Inc.,Brent Warga,204-942-0051,www.insolvencies.deloitte.ca/en-ca/10113 3330and101149825SkLtd
Allarco Entertainment 2008 Inc. and Allarco Entertainment Limited Partnership,2016-05-26,PricewaterhouseCoopers Inc.,Sean Fleming,780-441-6700,www.pwc.com/ca/allarco
Endurance Energy Ltd.,2016-05-30,FTI Consulting Canada Inc.,Deryck Helkaa,403-454-6035,http://cfcanada.fticonsulting.com/Endurance
2473304 Ontario Inc.,2016-06-07,Richter Advisory Group Inc.,Andrew Adessky,514-934-3513,https://www.richter.ca/en/folder/insolvency-cases/0-9/2473304-ontario-inc
"MPÉCO Construction Inc., MPECO Électrique Inc., MPECO Inc., and MPÉCO Fabrication Inc.",2016-06-17,PricewaterhouseCoopers Inc.,Christian Bourque,514-205-5434,www.pwc.com/ca/groupempeco
H.B. White Canada Corp.,2016-07-07,Alvarez & Marsal Canada Inc.,Alan John Hutchens,416-847-5159,www.alvarezandmarsal.com/hbwhite
"Omniarch Capital Corporation, Omniarch Management Corporation, Omnicarch Fixed Income Limited Partnership, Omniarch Fixed Income G.P. Ltd.",2016-07-15,Ernst & Young Inc.,Peter Chisolm,403-206-5061,www.ey.com/ca/omniarch
Hefler Forest Products Limited,2016-07-22,Green Landers Limited.,Ross Landers,902-481-8144,http://www.greenlanders.ca/gl-documents/
"MBAC Fertilizer Corp., MBAC Opportunities and Financing Inc., MBAC International Holdings Cooperative U.A. and MBAC (Barbados) Inc.",2016-08-04,Ernst & Young Inc.,Alex F. Morrison,416-941-7743,www.ey.com/ca/mbac
Carmen International Inc.,2016-08-16,Litwin Boyadjian Inc.,Arthur Blumer,514-875-4000,litwinboyadjian.net/info.aspx?n=Carmen International Inc.
Victory Farms Incorporated and Jonathan Mullen Mink Ranch Limited,2016-08-31,Deloitte Restructuring Inc.,James Foran,902-721-5614,http://www.insolvencies.deloitte.ca/en-ca/pages/Victory-Farms.aspx
Quattro Exploration and Production Ltd.,2016-09-08,Hardie & Kelly Inc.,Marc Kelly,403-777-9999,http://relieffromdebt.ca/quattro-exploration-production-ltd/
"Golf Town Canada Holdings Inc., Golf Town Canada Inc. and Golf Town GP II Inc.",2016-09-14,FTI Consulting Canada Inc.,Paul Bishop,416-649-8053,http://cfcanada.fticonsulting.com/golftown/
"Lightstream Resources Ltd., 1863359 Alberta Ltd., LTS Resources Partnership, 1863360 Alberta Ltd. and Bakken Resources Partnership",2016-09-26,FTI Consulting Canada Inc.,Deryck Helkaa,403-454-6035,http://cfcanada.fticonsulting.com/Lightstream/
"Urbancorp Cumberland 2 GP Inc., Urbancorp Cumberland 2 L.P., Bosvest Inc., and Westside Gallery Lofts Inc.",2016-10-06,The Fuller Landau Group Inc.,Gary Abrahamson,416-645-6524,https://fullerllp.com/active_engagements/urbancorp-cumberland-2-gp-inc/
"Urbancorp (Bridlepath) Inc., Urbancorp (Woodbine) Inc., The Townhouses of Hogg's Hollow Inc., King Towns Inc., Newtowns at Kingtowns Inc., Deaja Partner (Bay) Inc.",2016-10-18,KSV Kofman Inc.,Robert Kofman,416-932-6228,https://www.ksvadvisory.com/insolvency-cases/case/urbancorp-group
"Rubicon Minerals Corporation, 0691403 B.C. Ltd., 1304850 Ontario Inc., Rubicon Minerals Nevada Inc., Rubicon Nevada Corp., Rubicon Alaska Corp. and Rubicon Alaska Holdings Inc.",2016-10-20,Ernst & Young Inc.,Alex F. Morrison,416-941-7743,www.ey.com/ca/rubicon
"SunEdison Canadian Construction LP, SunEdison Canadian Construction GP Corp., SunEdison Canada Origination LP, SunEdison Canada Origination GP Corp., SunEdison Power Canada Inc., et al",2016-10-27,Ernst & Young Inc.,Alex F. Morrison,416-941-7743,www.ey.com/ca/sunedison
"Performance Sports Group Ltd., Bauer Hockey Corp., Bauer Hockey Retail Corp., Bauer Performance Sports Uniforms Corp., BPS Canada Intermediate Corp., BPS Diamond Sports Corp., Easton Baseball/Softball Corp., KBAU Holdings Canada, Inc., Performance Lacrosse Group Corp., PSG Innovation Corp.",2016-10-31,Ernst & Young Inc.,Brian Denega,416-943-3058,www.ey.com/ca/psg
8640025 Canada Inc. and Teliphone Data Centres Inc.,2016-11-25,"Boale, Wood & Company Ltd.",John McEown,604-605-3335,http://www.boalewood.ca/2016/11/28/8640025-canada-inc/
Parkland Airport Development Corporation,2016-11-29,Deloitte Restructuring Inc.,Darren Crocker,780-421-3687,http://www.insolvencies.deloitte.ca/en-ca/Pages/Parkland-Airport-Development-Corporation.aspx?searchpage=Search-Insolvencies.aspx
"Corporation Mount Real / Mount Real Corporation, Gestion Mracs Ltée / Gestion Mracs Ltd., Real Vest Investments Ltd., and Corporation Real Assurance Acceptation",2016-12-01,Raymond Chabot Inc.,Jean Gagnon,514-393-4848,https://www.raymondchabot.com/dossiers-publics/corporationmountreal/
1462598 Ontario Inc. (Tricon Films and Television),2016-12-12,KSV Kofman Inc.,Robert Kofman,416-932-6228,https://www.ksvadvisory.com/insolvency-cases/case/tricon-films-and-television-2/
Sunrise/Saskatoon Apartments Partnerships,2016-12-16,PricewaterhouseCoopers Inc.,Michael J. Vermette,604-806-7675,http://www.pwc.com/ca/sunrise
Développement Lachine Est Inc.,2017-01-13,Raymond Chabot Inc.,Jean Gagnon,514-393-4848,https://www.raymondchabot.com/en/public-records/groupe-catania/
Alliance Hanger Inc.,2017-01-16,KPMG Inc.  Dev A. Coossa  514-840-2555  https://home.kpmg.com/ca/en/home/services/advisory/deal-advisory/creditorlinks/alliance-hanger-inc.html,,,
Grafton-Fraser Inc.,2017-01-25,Richter Advisory Group Inc.,Adam Sherman,416-642-4836,https://www.richter.ca/insolvencycase/1735825-ontario-inc/
Orbite Technologies Inc.,2017-04-28,PricewaterhouseCoopers Inc.,Christian Bourque,514-205-5434,http://www.pwc.com/ca/orbitetechnologies
Walton International Group Inc. et al.,2017-04-28,Ernst & Young Inc.,Peter Chisolm,403-206-5061,www.ey.com/ca/wigi
"Express Fashion Apparel Canada Inc. and Express Canada GC GP, Inc.",2017-05-04,ALVAREZ & MARSAL CANADA INC.,Alan John Hutchens,416-847-5159,www.alvarezandmarsal.com/expresscanada
"Gestion Eric Savard Inc., et al.",2017-05-18,Raymond Chabot Inc.,Benoit Fontaine,514-393-4848,https://www.raymondchabot.com/dossiers-publics/gestion-eric-savard-inc-et-als/
Sears Canada Inc.,2017-06-22,FTI Consulting Canada Inc.,Paul Bishop/Greg Watson,416-649-8113,(Monitor’s Hotline)  http://cfcanada.fticonsulting.com/searscanada
"Canada North Group Inc., Canada North Camps., Campcorp Structures Ltd., D.J. Catering Ltd., 816956 Alberta Ltd., 1371047 Alberta Ltd.",2017-07-06,EY,Matt McCulloch,780-638-6642,www.ey.com/ca/canadanorthgroup
Index Energy Mills Road Corporation,2017-08-16,Grant Thornton Limited,Michael Creber,416-369-7047,https://www.grantthornton.ca/en/service/advisory/creditor-updates/#Index-Energy-Mills-Road-Corporation
"Toys ""R"" Us (Canada) Ltd. Toys ""R"" Us (Canada) Ltee",2017-09-19,Grant Thornton Limited,Michael Creber,416-369-7047,www.grantthornton.ca/toysrus
"Java-U Group Inc., Java-U Food Services Inc., Café Java-U Inc. and Java-U RTA INc.",2017-10-06,Raymond Chabot Inc.,Jean Gagnon,514-393-4848,www.raymondchabot.com/dossiers-publics/j ava-u/
1031084 Alberta Ltd. and 623735 Saskatchewan Ltd.,2017-10-31,KPMG Inc.,Ryan Adlington,403-691-8504,http://www.kpmg.com/ca/spareparts
BuildDirect.com Technologies Inc.,2017-10-31,PricewaterhouseCoopers Inc.,Michael Vermette,604-806-7675,www.pwc.com/ca/builddirect
All Canadian Investment Corporation,2017-11-10,McEown and Associates Ltd.,John McEown,604-558-8020,https://www.mceownassociates.com/all-canadian-investment-corporation
RCR International Inc. and WJ Dennis & Company,2017-11-21,Ernst & Young Inc.,Martin Rosenthal,514-875-6060,www.ey.com/ca/rcr
"669699 N.B. Ltd., MP Atlantic Wood Ltd. and New Future Lumber Ltd.",2017-11-29,Powell Associates Ltd.,Robert Powell,506-638-9220,https://maritimetrustee.ca/insolvencies
"9333-9109 Québec Inc., 9333-9315 Québec Inc., 9333-9331 Québec Inc., 9333-9026 Québec Inc., 9333-8424 Québec Inc., 9333-9059 Québec Inc., 9333-9125 Québec Inc., 9333-9216 Québec Inc., 9335-5923 Québec Inc.",2017-12-01,André Allard & Associés Inc.,André Allard,450-435-8011,Ext 203  http://aaasyndic.ca/public-records/9333-9109-quebec-inc
"Souris Mini Inc., Les Boutiques Souris Mini Inc. et Souris Mini International Inc.",2017-12-01,Richter Advisory Group Inc.,Andrew Adessky,514-875-6060,http://www.richter.ca/fr-CA/Folder/Insolvency-Cases/S/Souris-Mini-Inc
Atlantica Diversified Transportation Systems Inc.,2017-12-07,BDO Canada Limited,Philip Clarke,902-425-3100,http://extranets.bdo.ca/adts/
"Azzimov Inc.,Azzimov Mobile Inc.",2017-12-18,PricewaterhouseCoopers Inc.,Christian Bourque,514-205-5434,www.pwc.com/ca/azzimov
Copper Sands Land Corp.,2017-12-20,Deloitte Restructuring Inc.,Brent Warga  (,204) 942-0051,http://www.insolvencies.deloitte.ca/en-ca/Pages/Coppersandslandcorp.aspx
"Banro Corporation, Banro Group (Barbados) Limited, Banro Congo (Barbados) Limited, Namoya (Barbados) Limited, Lugushwa (Barbados) Limited, Twangiza (Barbados) Limited, Kamituga (Barbados) Limited",2017-12-22,FTI Consulting Canada Inc.,Nigel Meakin,416-649-8085,http://cfcanada.fticonsulting.com/banro/
Carillion Canada Inc.,2018-01-25,Ernst & Young Inc.,Murray Allan McDonald,416-943-3016,www.ey.com/ca/carillioncanada
Dundee Oil and Gas Limited,2018-02-13,FTI Consulting Canada Inc.,Jeffrey Rosenberg,416-649-8073,http://cfcanada.fticonsulting.com/Dundee/
Société en commandite Tilly de Laval et Promotions Anne Delisle Inc.,2018-02-14,Lemieux Nolet Inc.,Martin Poirier,418-833-1054,http://lemieuxnoletsyndic.com/societe-en-commandite-tilly-de-laval-et-promotions-anne-delisle-inc/
Discovery Air Inc.,2018-03-21,KSV Kofman Inc.,Robert Kofman,416-932-6228,https://www.ksvadvisory.com/insolvency-cases/case/discovery-air
Wicker Emporium Limited,2018-04-18,MNP Ltd.,Derek Cramm,902-334-2000,http://www.mnpdebt.ca/WickerEmporium
"BioAmber Sarnia Inc., BioAmber Canada Inc., BioAmber Inc.",2018-05-24,PricewaterhouseCoopers Inc.,Christian Bourque,514-844-8000,https://www.pwc.com/ca/bioamber
"PURCELL BASIN MINERALS INC., BUL RIVER MINERAL CORPORATION, GALLOWAI METAL MINING CORPORATION, GRAND MINERAL CORPORATION, JAO MINE DEVELOPERS LTD., and STANFIELD MINING GROUP OF CANADA LTD.",2018-05-29,MNP Ltd.,Patricia Wood,604-637-1535,http://mnpdebt.ca/en/corporate/Engagements/Purcell-Basin-Minerals-Inc
TELoIP Inc.,2018-06-27,PricewaterhouseCoopers Inc.,Michael McTaggart,416-687-8924,www.pwc.com/ca/teloip
Kolsy Homes Ltd. And Rivairo Capital Corporation,2018-07-09,The Bowra Group Inc.,Doug Chivers,780-809-1224,https://www.bowragroup.com/kolsy-homes-ltd
"Ranch Energy Corporation, OpsMobil Inc., 173163 Alberta Inc., 1859821 Alberta Inc., Air Dallaire Ltd., OpsMobil Group Inc., OpsMobil Construction Inc.,OpsMobil Energy Services Inc., K.L. Capital Corp.",2018-07-10,EY,Peter Chisolm,403-206-5061,www.ey.com/ca/OpsMobil  www.ey.com/ca/ranchenergy
Aralez Pharmaceuticals Inc. and Aralez Pharmaceuticals Canada Inc.,2018-08-10,Richter Advisory Group Inc.,Paul van Eyk,416-488-2345,https://www.richter.ca/insolvencycase/Aralez-Pharmaceuticals/
Le groupe S.M. Inc. et als,2018-08-24,Restructuration Deloitte Inc.,"VINCENT, ÉRIC",418-624-3333,www.insolvencies.deloitte.ca/en-ca/groupe-sm
Great Slave Helicopters Ltd.,2018-09-04,KSV Kofman Inc.,Bobby Kofman,416-932-6228,https://www.ksvadvisory.com/insolvency-cases/case/great-slave-helicopters/
"Kraus Brands Inc., Kraus Canada Ltd., Kraus Carpet Inc., Kraus Properties Inc., Kraus USA Inc., Strudex Inc., Kraus Brands LP, Kraus Canada LP, Kraus Carpet LP, Kraus Properties LP, Strudex LP",2018-09-11,Deloitte,Paul Casey,416-775-7172,http://www.insolvencies.deloitte.ca/en-ca/kraus
Purewal Blueberry Farms Ltd.,2018-10-11,FTI Consulting Canada Inc.,Craig Munro,604-601-5699,http://cfcanada.fticonsulting.com/purewal/
Harvest Fraser Richmond Organics Ltd.,2018-10-12,Ernst & Young Inc.,Mike Bell,604-891-8200,www.ey.com/ca/HRFO
OpenHydro Technology Canada Ltd.,2018-11-07,Grant Thornton Limited,PAUL PHILIP CLARKE,902-421-1734,https://www.grantthornton.ca/en/service/advisory/creditor-updates/#Open-Hydro-Technology-Canada-Ltd
Gestion Maison Éthier Inc. et Gestion Immobilière Maison Éthier Inc.,2018-11-15,KPMG,Stéphane De Broux,514-840-7265,www.kpmg.com/ca/ethier-en  www.kpmg.com/ca/ethier-fr
Forme Development Group Inc.,2018-11-30,KSV Kofman Inc.,Robert Kofman,416-932-6228,https://www.ksvadvisory.com/insolvency-cases/case/forme-development-group-inc
"V.A. Inc., Location V.A. Inc., 9288-7561 Québec Inc., 9001-6346 Québec Inc.",2018-12-21,Raymond Chabot Inc.,Dominic Deslandes,514-939-4725,http://www.raymondchabot.com/dossiers-publics/v-a-inc-et-al/
Vari-Form Inc.,2019-01-08,PricewaterhouseCoopers Inc.,Michael McTaggart,416-687-8924,www.pwc.com/ca/variforminc
"Taxelco Inc., Taxelco Permis Inc., Gestion de Parc de Véhicules Taxelco Inc., Téo Techno Inc., Armandy Inc., Cercle d’Or Taxi Ltée, Les Entreprises Phillip Cie Ltée, 9345-0351 Québec Inc., 9345-0427 Québec Inc., 9345-0559 Québec Inc., Taxi Hochelaga Inc., L’Association de Taxi Diamond de Montréal Ltée, et Centre de Répartition Taxelco Inc., 9354-9038 Québec Inc., 9345-0492 Québec Inc., 9354-9079 Québec Inc.",2019-02-01,Richter Group Conseil Inc.,Benoit Gingues,514-934-3514,https://www.richter.ca/fr/insolvencycase/taxelco-inc/
"Quadriga Fintech Solutions Corp., Whiteside Capital Corporation and 0984750 B.C. Ltd.",2019-02-05,Ernst & Young Inc.,George Kinsman,902-421-6282,www.ey.com/ca/quadriga
"Sural Laminated Products Canada Inc., Sural Québec Inc.",2019-02-11,PricewaterhouseCoopers Inc.,Philippe Jordan,514-205-5232,https://www.pwc.com/ca/sural
